trip_id,arrival_time,departure_time,stop_id,stop_sequence
1016,11:45:00,11:45:00,101,1
1016,11:57:00,11:57:00,205,2
1016,12:09:00,12:09:00,308,3
1016,12:21:00,12:21:00,410,4
1016,12:33:00,12:33:00,550,5
1017,12:00:00,12:00:00,101,1
1017,12:12:00,12:12:00,205,2
1017,12:24:00,12:24:00,308,3
1017,12:36:00,12:36:00,410,4
1017,12:48:00,12:48:00,550,5
1018,12:15:00,12:15:00,101,1
1018,12:27:00,12:27:00,205,2
1018,12:39:00,12:39:00,308,3
1018,12:51:00,12:51:00,410,4
1018,13:03:00,13:03:00,550,5
1019,12:30:00,12:30:00,101,1
1019,12:42:00,12:42:00,205,2
1019,12:54:00,12:54:00,308,3
1019,13:06:00,13:06:00,410,4
1019,13:18:00,13:18:00,550,5
1020,12:45:00,12:45:00,101,1
1020,12:57:00,12:57:00,205,2
1020,13:09:00,13:09:00,308,3
1020,13:21:00,13:21:00,410,4
1020,13:33:00,13:33:00,550,5
1021,13:00:00,13:00:00,101,1
1021,13:12:00,13:12:00,205,2
1021,13:24:00,13:24:00,308,3
1021,13:36:00,13:36:00,410,4
1021,13:48:00,13:48:00,550,5
1022,13:15:00,13:15:00,101,1
1022,13:27:00,13:27:00,205,2
1022,13:39:00,13:39:00,308,3
1022,13:51:00,13:51:00,410,4
1022,14:03:00,14:03:00,550,5
1023,13:30:00,13:30:00,101,1
1023,13:42:00,13:42:00,205,2
1023,13:54:00,13:54:00,308,3
1023,14:06:00,14:06:00,410,4
1023,14:18:00,14:18:00,550,5
1024,13:45:00,13:45:00,101,1
1024,13:57:00,13:57:00,205,2
1024,14:09:00,14:09:00,308,3
1024,14:21:00,14:21:00,410,4
1024,14:33:00,14:33:00,550,5
1025,14:00:00,14:00:00,101,1
1025,14:12:00,14:12:00,205,2
1025,14:24:00,14:24:00,308,3
1025,14:36:00,14:36:00,410,4
1025,14:48:00,14:48:00,550,5
1026,14:15:00,14:15:00,101,1
1026,14:27:00,14:27:00,205,2
1026,14:39:00,14:39:00,308,3
1026,14:51:00,14:51:00,410,4
1026,15:03:00,15:03:00,550,5
1027,14:30:00,14:30:00,101,1
1027,14:42:00,14:42:00,205,2
1027,14:54:00,14:54:00,308,3
1027,15:06:00,15:06:00,410,4
1027,15:18:00,15:18:00,550,5
1028,14:45:00,14:45:00,101,1
1028,14:57:00,14:57:00,205,2
1028,15:09:00,15:09:00,308,3
1028,15:21:00,15:21:00,410,4
1028,15:33:00,15:33:00,550,5
1029,15:00:00,15:00:00,101,1
1029,15:12:00,15:12:00,205,2
1029,15:24:00,15:24:00,308,3
1029,15:36:00,15:36:00,410,4
1029,15:48:00,15:48:00,550,5
1030,15:15:00,15:15:00,101,1
1030,15:27:00,15:27:00,205,2
1030,15:39:00,15:39:00,308,3
1030,15:51:00,15:51:00,410,4
1030,16:03:00,16:03:00,550,5
1031,15:30:00,15:30:00,101,1
1031,15:42:00,15:42:00,205,2
1031,15:54:00,15:54:00,308,3
1031,16:06:00,16:06:00,410,4
1031,16:18:00,16:18:00,550,5
1032,15:45:00,15:45:00,101,1
1032,15:57:00,15:57:00,205,2
1032,16:09:00,16:09:00,308,3
1032,16:21:00,16:21:00,410,4
1032,16:33:00,16:33:00,550,5
1033,16:00:00,16:00:00,101,1
1033,16:12:00,16:12:00,205,2
1033,16:24:00,16:24:00,308,3
1033,16:36:00,16:36:00,410,4
1033,16:48:00,16:48:00,550,5
1034,16:15:00,16:15:00,101,1
1034,16:27:00,16:27:00,205,2
1034,16:39:00,16:39:00,308,3
1034,16:51:00,16:51:00,410,4
1034,17:03:00,17:03:00,550,5
1035,16:30:00,16:30:00,101,1
1035,16:42:00,16:42:00,205,2
1035,16:54:00,16:54:00,308,3
1035,17:06:00,17:06:00,410,4
1035,17:18:00,17:18:00,550,5
1036,16:45:00,16:45:00,101,1
1036,16:57:00,16:57:00,205,2
1036,17:09:00,17:09:00,308,3
1036,17:21:00,17:21:00,410,4
1036,17:33:00,17:33:00,550,5
1037,17:00:00,17:00:00,101,1
1037,17:12:00,17:12:00,205,2
1037,17:24:00,17:24:00,308,3
1037,17:36:00,17:36:00,410,4
1037,17:48:00,17:48:00,550,5
1038,17:15:00,17:15:00,101,1
1038,17:27:00,17:27:00,205,2
1038,17:39:00,17:39:00,308,3
1038,17:51:00,17:51:00,410,4
1038,18:03:00,18:03:00,550,5
1039,17:30:00,17:30:00,101,1
1039,17:42:00,17:42:00,205,2
1039,17:54:00,17:54:00,308,3
1039,18:06:00,18:06:00,410,4
1039,18:18:00,18:18:00,550,5
1040,17:45:00,17:45:00,101,1
1040,17:57:00,17:57:00,205,2
1040,18:09:00,18:09:00,308,3
1040,18:21:00,18:21:00,410,4
1040,18:33:00,18:33:00,550,5
